Date,gross_return,transaction_cost,net_return,signal,beta,weight_rf,weight_schw,alpha,innovation,innovation_std,z_score
2023-01-04,0.0019536099427740934,0.0,0.0019536099427740934,1.0,0.9641319086527573,0.509130774564893,-0.490869225435107,-1.244198407574807,-0.03502104552476393,0.021513783986917206,-1.62784220321542
2023-01-05,-0.004194853452837749,0.0,-0.004194853452837749,1.0,0.9634550761138733,0.5093062796115656,-0.4906937203884345,-1.243090413469847,-0.041694830067930067,0.02151211273537229,-1.9382024713626294
2023-01-06,0.008281687530383613,0.0,0.008281687530383613,1.0,0.963021983187012,0.5094186456213173,-0.49058135437868267,-1.2422490173977543,-0.02359319447294972,0.021517872985130047,-1.0964464047749434
2023-01-09,-0.01201016614183845,0.0,-0.01201016614183845,1.0,0.9621257464896485,0.5096513318726158,-0.4903486681273841,-1.240390098246506,-0.046108068315011685,0.021521204714314367,-2.142448293535533
2023-01-10,-0.0024756347665802316,0.0,-0.0024756347665802316,1.0,0.9611825987993905,0.5098964270905659,-0.49010357290943407,-1.238447290114905,-0.048880210670457114,0.021521039344380443,-2.2712755591528007
2023-01-11,0.015065719478314265,0.0,0.015065719478314265,1.0,0.9609229743388084,0.5099639369247453,-0.4900360630752547,-1.238068883269569,-0.01712096617899661,0.02151046970584034,-0.7959364166905232
2023-01-12,0.004920601139290134,0.0,0.004920601139290134,1.0,0.9608221641046744,0.5099901553064131,-0.4900098446935868,-1.2379247582273343,-0.0067146811026366215,0.021510344934087648,-0.3121605498755068
2023-01-13,0.004537872058486077,0.0005,0.004037872058486077,0.0,0.9608566874463935,0.5099811762899874,-0.49001882371001254,-1.2379663843668796,0.002480408290875591,0.021508152571300298,0.1153240978114205
2023-01-17,-0.0,0.0,-0.0,0.0,0.96080538776193,0.0,-0.0,-1.2378972689799004,-0.0035162950265892334,0.021509814557335676,-0.16347398148023742
2023-01-18,-0.0,0.0,-0.0,0.0,0.9607372687753797,0.0,-0.0,-1.237877008055512,-0.006339134442911565,0.02150261105617004,-0.29480765970012696
