Ticker,sector,alpha,beta_mkt,beta_smb,beta_hml,r_squared,observations
LOW,Consumer Cyclical,0.0002604301167170478,0.9620956814579169,0.11429855489231766,0.08067970715545222,0.4147872912951326,3895
LULU,Consumer Cyclical,0.0004133689587642463,1.1026413322065518,0.5358031746706131,-0.38909985657217494,0.295628262647059,3895
LVS,Consumer Cyclical,2.7242966052432414e-05,1.1909889676635592,0.41347502431759015,0.2962278092373716,0.3509314575258814,3895
MAR,Consumer Cyclical,0.0002528612075378514,1.0990780886365579,0.35039552547602126,0.4366900579591826,0.49069714926159536,3895
MCD,Consumer Cyclical,0.0001916496579396899,0.6259840179010375,-0.2689891240418897,0.11276663222646312,0.34117479279131024,3895
MGM,Consumer Cyclical,-5.201168429789007e-05,1.5364974219883922,0.5596188750699336,0.5197534943878382,0.45037505632242025,3895
MHK,Consumer Cyclical,-0.0001034603247876996,1.1525898744131138,0.6973814144567136,0.5600373649355784,0.42428445752890265,3895
NCLH,Consumer Cyclical,-0.00019815279808672187,1.598132051420092,1.03586266824667,0.8100368440716137,0.3538720044893061,3129
NKE,Consumer Cyclical,3.409016572004169e-05,0.9645706385009274,0.02222520067049242,-0.06961192231652198,0.3662834030460138,3895
NVR,Consumer Cyclical,0.000305858928877482,0.8198851619568729,0.29329348769919505,0.10483853604527653,0.3023418246748877,3895
ORLY,Consumer Cyclical,0.0006269248430151385,0.6942112997198332,-0.1154025597199942,0.0656251497170015,0.23673326861828858,3895
PHM,Consumer Cyclical,0.0003037928465517369,1.2131798149718476,0.5633806533661705,0.31541934014103623,0.3820220101243147,3895
PKG,Consumer Cyclical,0.0003108867269113226,0.9146265645559304,0.17576785780120707,0.4295858266848664,0.4174967641213695,3895
RCL,Consumer Cyclical,0.00036920176510229954,1.5431433889193065,0.6713156930530328,0.691558694033402,0.42266652651865344,3895
RL,Consumer Cyclical,7.665430306423362e-05,1.0664965104503874,0.4993119362734374,0.42922299830713234,0.36312314742042373,3895
ROL,Consumer Cyclical,0.0004108735111463411,0.7675413921414294,0.06152737523700308,-0.06165383327215833,0.3291324964122734,3895
ROST,Consumer Cyclical,0.0003469928964623544,0.8916698103465281,0.18318730656052554,0.15566204005952156,0.3321344084533271,3895
SBUX,Consumer Cyclical,0.00018250206146146615,0.9966617728324976,-0.07756935930780075,-0.007069443637264581,0.4019958721734427,3895
TJX,Consumer Cyclical,0.0003818054674585844,0.8260720659282291,0.08709289049754856,0.20115659452386633,0.38255605529743053,3895
TPR,Consumer Cyclical,1.8530188799153273e-05,1.2290517649699757,0.5348463572165323,0.49568084680044106,0.3850560174157591,3895
TSCO,Consumer Cyclical,0.0005134865083489805,0.8103133002783867,0.23889910965477235,-0.09116722453068686,0.2834881594482498,3895
TSLA,Consumer Cyclical,0.0012173771368393744,1.4078075872154703,0.6493819133517439,-0.8061027325789778,0.26174009099152473,3773
ULTA,Consumer Cyclical,0.0005918689247148264,0.9877633203584354,0.4315921531240005,0.19625483100201252,0.2529201865505015,3895
WSM,Consumer Cyclical,0.0005484028727511072,1.0621419671419128,0.8087525547306061,0.04295051846436462,0.3171398413929105,3895
WYNN,Consumer Cyclical,-7.698291904144064e-05,1.3392779156475634,0.5676969267450659,0.430977991460696,0.3441668103403396,3895
YUM,Consumer Cyclical,0.00017810822169156401,0.7955821401572492,-0.16983504376420286,0.12649405402120273,0.3483838331310929,3895
ADM,Consumer Defensive,-8.225285856153775e-05,0.8410300845866588,-0.14749943613523486,0.5609462502627639,0.38858430239550434,3895
BG,Consumer Defensive,-7.131812119625053e-05,0.7362244940345344,0.12852147416126253,0.5643357639301283,0.27676553455536834,3895
CAG,Consumer Defensive,-7.6288465340384e-08,0.43616404094007555,-0.1271007274523289,0.1813195546787411,0.11633924032488485,3895
CHD,Consumer Defensive,0.00029481752363891495,0.46605765483001327,-0.3015486444914466,-0.08585726702348562,0.1676112924414015,3895
CL,Consumer Defensive,1.576905769836937e-05,0.5350085350610027,-0.41269322888450116,0.044382099840300775,0.2672368991263918,3895
CLX,Consumer Defensive,0.00011378299879667426,0.3774410570486429,-0.23148519224227915,-0.09947400805449938,0.0994123481582796,3895
COST,Consumer Defensive,0.0004436909599792777,0.7090879038067813,-0.29462727840553177,-0.22225431314860403,0.3817453550570522,3895
CPB,Consumer Defensive,-5.8903493840182785e-05,0.37416084961769497,-0.29673451450943567,0.12526415202317437,0.09373255439867312,3895
DG,Consumer Defensive,0.0003010286669814659,0.4922689495638161,0.0598407164251884,-0.1272846403466429,0.10120785598712556,3895
DLTR,Consumer Defensive,0.0002914321342665655,0.6547030539274687,0.11916008141449205,0.0655519914817275,0.1434607756745251,3895
EL,Consumer Defensive,-3.592771056237017e-05,1.0287883374477262,-0.03190568100984986,-0.04809976715713783,0.3387508123617706,3895
GIS,Consumer Defensive,3.7165166894844774e-05,0.396652525287207,-0.36939476820405026,0.10124062740425126,0.13698831460999006,3895
HRL,Consumer Defensive,0.00018704795818008587,0.4381918493889945,-0.15743406305808666,0.08052463156876348,0.13444175624788757,3895
HSY,Consumer Defensive,0.000254111043665293,0.49896699334996597,-0.3132258879435659,0.122776478741559,0.1780706740519633,3895
K,Consumer Defensive,7.547412381793315e-05,0.37817338400665673,-0.31179433484393165,0.14472772944356269,0.12299395361402221,3895
KDP,Consumer Defensive,0.00038334662639631813,0.5013341381824938,-0.11717226247613206,0.06678627008269561,0.1609072507338536,3895
KMB,Consumer Defensive,8.427877086346812e-05,0.469134805943376,-0.40504185787065594,0.045554200082558574,0.20384162043508514,3895
KO,Consumer Defensive,5.7268701615316736e-05,0.5818162916899616,-0.38853862210828344,0.2085076862989748,0.3686997004044792,3895
KR,Consumer Defensive,0.00046133345125959184,0.3941659780958284,-0.07210696687317882,0.15655646129865267,0.07615827773670703,3895
MDLZ,Consumer Defensive,9.921945630129346e-05,0.6639510459903483,-0.3984431629965515,0.08076862496352455,0.3291548172570087,3895
MKC,Consumer Defensive,0.00016190134057801267,0.5865891119640806,-0.3054714917584743,0.01323571860595995,0.23433524027788422,3895
MNST,Consumer Defensive,0.00045451087098105647,0.8054919459928546,-0.17645826548449184,-0.1300302621700817,0.21451283348576333,3895
MO,Consumer Defensive,0.000285852309750109,0.5333139791482001,-0.2749361429469394,0.3274301174844124,0.24575588941361393,3895
PEP,Consumer Defensive,-2.4941818920259537e-06,0.5958401949057,-0.46026621252079347,0.054208179876791295,0.35744804895087434,3895
PG,Consumer Defensive,6.626367450468145e-05,0.5465481096299069,-0.4875927680726058,0.037765618102800824,0.31445391765721,3895
PM,Consumer Defensive,0.00024164600709982153,0.6331336058405871,-0.28776231092582455,0.2901828740485836,0.2839657997307723,3895
SJM,Consumer Defensive,5.1301350348537185e-05,0.4202421168159044,-0.24899404141037168,0.15135263822086714,0.11896938102289178,3895
STZ,Consumer Defensive,0.00033734561250111245,0.7916324355889519,-0.07922865633441632,0.21569781816569172,0.2465940002981757,3895
SYY,Consumer Defensive,8.605589377476408e-05,0.7638958262998398,0.07967959086495383,0.4662640419452402,0.33733333460645754,3895
TAP,Consumer Defensive,-0.00012771568941381535,0.6874094706755562,-0.07023150825327117,0.5546976389194276,0.27995709033070526,3895
TGT,Consumer Defensive,2.2268199311811654e-05,0.7405387041051409,0.10250086852958086,0.002578491704509166,0.22456412691221783,3895
TSN,Consumer Defensive,0.0002870417978415094,0.6023028218522164,0.11821147604243375,0.41222386755526197,0.19220475116324143,3895
WMT,Consumer Defensive,0.0002487557431778089,0.5286869987066743,-0.3056902595941613,-0.07734831290399444,0.22149048978146446,3895
